ingredient,Biotin,"Calcium, Ca","Carbohydrate, by difference",Cholesterol,"Choline, total","Copper, Cu","Fatty acids, total saturated","Fiber, total dietary","Folate, total","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Total lipid (fat),"Vitamin A, IU",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
celery,0.0,0.027692307692307693,0.013236363636363636,0.0,0.0,0.0,0.0,0.0642857142857143,0.0,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04565217391304348,0.0,0.0,0.20222222222222222,0.0,0.0,0.0911111111111111,0.0,0.0,0.0,0.0
chard,0.0,0.04153846153846154,0.01418181818181818,0.006666666666666667,0.034545454545454546,0.20666666666666667,0.0403,0.060714285714285714,0.0275,0.10444444444444444,0.2,0.0,0.0,0.02475,0.0,0.0384,0.08404255319148936,0.037599999999999995,0.06846153846153846,0.016363636363636365,0.15347826086956523,0.03166666666666667,0.03769230769230769,0.0,0.0,0.06823529411764706,0.24333333333333332,0.0,0.152,7.216666666666667,0.034545454545454546
cheddar,0.0,0.2561538461538462,0.048363636363636366,0.11,0.0,0.0,0.4165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7521739130434782,0.0,0.2564102564102564,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0,0.0,0.008945454545454545,0.17666666666666667,0.0,0.0,0.8800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42200000000000004,0.0,0.0,0.2604347826086956,0.0,0.31538461538461543,0.19555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.0,0.03076923076923077,0.15272727272727274,0.0,0.0,0.0,0.35,0.07142857142857142,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08695652173913043,0.0,0.2564102564102564,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chestnut,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0
chicken,0.0,0.0,0.0,0.15,0.0,0.0,0.0445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.0,0.0,0.07782608695652174,0.0,0.02294871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chickpea,0.0,0.07692307692307693,0.22181818181818183,0.0,0.0,0.0,0.05,0.6071428571428571,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.010434782608695653,0.0,0.07692307692307693,0.05555555555555555,0.0,0.0,0.04,0.0,0.0,0.0,0.0
chile pepper,0.0,0.03461538461538462,0.2541818181818182,0.0,0.15327272727272725,0.25333333333333335,0.04065,1.025,0.1275,0.33555555555555555,0.20952380952380953,0.35695652173913045,0.0,0.541875,0.19119999999999998,0.1272,0.39787234042553193,0.212,0.923076923076923,0.06363636363636363,0.03956521739130435,0.0675,0.07448717948717948,29.444444444444443,0.0,0.47647058823529415,0.34888888888888886,0.0,0.20933333333333334,0.9,0.09272727272727273
chili,0.0,0.013076923076923076,0.024654545454545457,0.05,0.0,0.0,0.1905,0.028571428571428574,0.0,0.025555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.027872340425531914,0.11019999999999999,0.0,0.0,0.16956521739130434,0.0,0.13076923076923075,0.18777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chive,0.0,0.07076923076923076,0.015818181818181818,0.0,0.009454545454545455,0.17444444444444443,0.007299999999999999,0.08928571428571429,0.2625,0.08888888888888889,0.1,0.0,0.0,0.0404375,0.0,0.0464,0.06297872340425532,0.0654,0.08846153846153847,0.016363636363636365,0.0013043478260869566,0.065,0.009358974358974358,0.0,0.0,0.08117647058823531,0.6455555555555555,0.0,0.014,1.775,0.05090909090909091
chocolate,0.0,0.15,0.22181818181818183,0.08,0.0,0.0,0.8550000000000001,0.08571428571428572,0.0,0.19499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464,0.0,0.0,0.03695652173913044,0.0,0.37564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cilantro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinnamon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citrus,0.0,0.006153846153846154,0.041090909090909095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000851063829787234,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0
clam,0.0,0.03307692307692308,0.035745454545454546,0.05333333333333334,0.06381818181818182,0.07555555555555556,0.054000000000000006,0.04285714285714286,0.04,0.0661111111111111,0.04285714285714286,0.0,0.0,0.066875,0.0,0.0808,0.033829787234042556,0.1746,0.05538461538461538,0.3018181818181818,0.14173913043478262,0.08083333333333334,0.06051282051282051,0.0,1.8416666666666668,0.060588235294117644,0.16333333333333333,0.005,0.04933333333333333,0.08,0.04454545454545455
clove,0.0,0.48615384615384616,0.2381818181818182,0.0,0.06799999999999999,0.40888888888888886,0.1975,1.2107142857142856,0.0625,0.6555555555555556,0.6166666666666667,26.1304347826087,0.0,0.0975,0.1018,0.0832,0.2170212765957447,0.11939999999999999,0.1692307692307692,0.13090909090909092,0.12043478260869565,0.13166666666666668,0.16666666666666666,0.17777777777777778,0.0,0.23,0.0022222222222222222,0.0,0.588,1.1833333333333333,0.2109090909090909
coconut,0.0,0.0,0.16872727272727273,0.0,0.0,0.0,1.605,0.1285714285714286,0.0,0.10722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07139999999999999,0.0,0.0,0.11347826086956522,0.0,0.45769230769230773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
